Bus,Pd,v_nom,balancing_area,state,country,county,reeds_zone,reeds_ba,interconnect,x,y,sub_id,substation_off,LAF_state,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network,nerc_reg,trans_reg,trans_grp,reeds_state,rec_trading_zone
2010001,9.64,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-124.578,48.2414,35000.0,False,0.0006003212092113187,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010002,15.98,138.0,BPAT,Washington,US,p53031,p2,BPAT,Western,-124.184,47.6956,35001.0,False,0.0009951382700411693,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010003,14.39,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-124.057,47.04,35002.0,False,0.0008961226349119166,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010004,0.0,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-124.172,46.9275,35003.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010005,10.45,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-124.172,46.9275,35003.0,False,0.0006507631365413153,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010006,13.44,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-124.061,46.3165,35004.0,False,0.0008369623497717969,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010007,0.0,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-124.061,46.3165,35004.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010008,0.0,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-123.983,46.4983,35005.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010009,16.82,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-123.983,46.4983,35005.0,False,0.0010474484169019067,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010010,33.49,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.847,47.1743,35006.0,False,0.0020855557361501103,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010011,32.02,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.762,48.0025,35007.0,False,0.00199401297914382,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010012,0.0,345.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.664,47.165,35008.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010013,57.79,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.664,47.165,35008.0,False,0.003598813556050011,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010014,0.0,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.686,47.1889,35009.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010015,25.01,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.686,47.1889,35009.0,False,0.0015574723487940955,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
2010016,0.0,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-123.615,46.656,35010.0,False,0.0,,AC,,1.0,0.0,inf,PQ,,,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS
