facility_id,facility_name,state,sub_id,sub_name,zone,baseline_gwh,dist_km
1000038,TYSON FRESH MEATS,WA,35505,TOUCHET,BPAT,64.03940215076885,8.53
1000066,"INGOMAR PACKING COMPANY, LLC",CA,36531,LOS BANOS 1,CISO-PGAE,181.2437932935241,4.17
1000357,CARGILL MEAT SOLUTIONS CORPORATION,CO,39313,BRUSH 4,PSCO,92.4563446975998,8.37
1000378,Abbott Laboratories,AZ,38484,CASA GRANDE 5,Arizona,45.26012800737311,0.99
1000606,LAMB WESTON INCORPORATED,ID,39568,AMERICAN FALLS 4,PACE,90.69053817695732,3.34
1000607,LAMB WESTON,WA,35376,CONNELL,BPAT,50.48626685954139,5.07
1000609,LAMB WESTON INC. Hermiston,OR,35787,HERMISTON 4,BPAT,83.22866977549607,0.2
1000611,LAMB WESTON INC. PASCO,WA,35504,PASCO 3,BPAT,66.9561137416964,2.09
1000613,Lamb Weston Holdings Inc,WA,35345,QUINCY 1,GCPD,56.13322668741848,14.03
1000614,Lamb Weston Inc.,WA,35358,RICHLAND 1,BPAT,123.8596517889344,2.52
1000615,Lamb Weston Twin Falls,ID,39489,TWIN FALLS 1,IPCO,98.05599471390715,7.67
1000624,WestRock Tacoma Mill,WA,35456,TACOMA 21,BPAT,156.8774248727925,0.32
1000891,Olam West Coast Inc,CA,36543,FIREBAUGH 1,CISO-PGAE,56.51492229052332,6.51
1000903,Liberty Packing,CA,36531,LOS BANOS 1,CISO-PGAE,280.9466928156258,3.07
1000904,MORNING STAR PACKING CO (Williams),CA,35872,COLUSA,CISO-PGAE,269.1414733578715,7.26
1000907,THE MORNING STAR PACKING CO (Los Banos),CA,36532,LOS BANOS 2,CISO-PGAE,117.17624249917104,8.41
1001154,Itafos Conda LLC,ID,39530,SODA SPRINGS,PACE,677.073468873848,4.79
1001735,HILMAR CHEESE COMPANY,CA,36528,TURLOCK 2,TIDC,148.9127192298801,3.42
1001739,THE WESTERN SUGAR COOPERATIVE,WY,39350,LOVELL,PACE,6.523296276318754,21.18
1001783,WESTERN SUGAR COOPERATIVE,MT,39693,BILLINGS 8,NWMT,12.261960310319466,1.48
1001823,WESTERN SUGAR COOP,CO,39313,BRUSH 4,PSCO,10.751458667843794,11.46
1001908,APACHE NITROGEN PRODUCTS - PLANT,AZ,38400,SAINT DAVID,Arizona,20.20689876550414,11.78
1001985,JR SIMPLOT COMPANY - FOOD GROUP,ID,39437,CALDWELL 2,IPCO,128.2607782336518,1.73
1002083,"YUMA ETHANOL, LLC",CO,39263,YUMA 9,PSCO,25.647252511715006,0.99
1002149,International Paper - Springfield Mill,OR,35792,SPRINGFIELD 5,BPAT,129.52074556164044,0.31
1002152,PROCTER & GAMBLE PAPER PRODUCTS,CA,37247,OXNARD 12,CISO-SCE,200.24431507134847,2.65
1002205,FOSTER FARMS LIVINGSTON COMPLEX,CA,36533,DELHI,TIDC,128.04809443305888,5.32
1002230,SAPUTO CHEESE USA INC,CA,36608,VISALIA 1,CISO-SCE,119.19561072537662,4.88
1002285,MCCAIN FOODS USA INC,ID,39501,BURLEY 1,IPCO,163.92820113830703,7.22
1002287,MCCAIN FOODS USA INC,WA,35366,OTHELLO,BPAT,113.55164793833907,7.35
1002394,Frito-Lay COGEN PLANT,CA,36743,BAKERSFIELD 1,CISO-PGAE,49.90553635028436,11.8
1002804,J R SIMPLOT CO,WA,35366,OTHELLO,BPAT,99.69297318894924,7.27
1002832,J. R. Simplot Co.,WA,35357,MOSES LAKE 2,GCPD,42.15478131752205,11.37
1002867,ANHEUSER BUSCH INC. - L.A. BREWERY,CA,36885,NORTH HOLLYWOOD 1,LDWP,42.83698767940398,1.84
1002874,LAND O\LAKES INCORPORATED,CA,36608,VISALIA 1,CISO-SCE,118.56134110988438,4.21
1002893,BOISE PAPER,WA,35505,TOUCHET,BPAT,75.08084230562085,4.17
1003087,SIMPLOT PHOSPHATES,WY,39343,ROCK SPRINGS 1,PACE,51.965654597153,10.96
1003352,ANHEUSER BUSCH INCORPORATED FORT COLLINS BREWERY,CO,39066,FORT COLLINS 5,PSCO,45.40605273778903,6.42
1003568,Molson Coors USA LLC - Golden Brewery,CO,39046,DENVER 8,PSCO,284.8624036212872,4.49
1003636,J R SIMPLOT COMPANY,CA,36671,SAN JOAQUIN 2,CISO-PGAE,4.471200105239899,7.42
1004017,CASCADE PACIFIC PULP HALSEY PULP MILL,OR,35612,BROWNSVILLE,BPAT,44.86822292470397,11.42
1004022,JBS Swift Beef Company - Greeley Plant,CO,39229,EATON,PSCO,138.30488430931408,2.15
1004055,GEORGIA-PACIFIC TOLEDO LLC,OR,35794,TOLEDO 2,BPAT,187.3401561723284,0.48
1004205,"CAMPBELL SOUP SUPPLY COMPANY, LLC DBA DIXON CANNING CORP.",CA,36398,DIXON,CISO-PGAE,71.61605893347809,5.67
1004236,AGRIUM US INC - KFO,WA,35370,KENNEWICK 5,BPAT,1.553154513440907,2.98
1004262,SENSIENT NATURAL INGREDIENTS LLC,CA,36537,LIVINGSTON 1,TIDC,109.80557154211672,4.87
1004277,"Clearwater Paper Las Vegas, LLC",NV,38008,NORTH LAS VEGAS 11,NEVP,21.70868288589476,0.75
1004701,Borman Specialty Materials,NV,37985,HENDERSON 15,NEVP,39.81122362181142,1.29
1004705,CLEARWATER PAPER CORP,ID,39538,LEWISTON 4,BPAT,85.396778426672,0.85
1004832,J.G. Boswell Tomato Company Kings LLC,CA,36660,CORCORAN 2,CISO-PGAE,49.55169322877933,7.98
1004956,J.G. Boswell Tomato Company Kern LLC,CA,37281,TUPMAN 2,CISO-PGAE,82.35354206478458,14.23
1005035,JR SIMPLOT COMPANY DON SIDING COMPLEX,ID,39508,POCATELLO 1,PACE,186.3653079667511,13.2
1005050,Willamette Falls Paper Company,OR,35679,PORTLAND 25,PGE,45.27756337723219,0.87
1005517,Olam West Coast Inc,CA,36432,GILROY 3,CISO-PGAE,103.63354016114032,0.42
1005651,LAMB WESTON INCORPORATED,OR,35790,BOARDMAN 2,BPAT,68.27631605096329,0.74
1005657,CALIFORNIA DAIRIES INC TIPTON,CA,36613,PIXLEY,CISO-SCE,93.13566589519766,2.95
1005658,CALIFORNIA DAIRIES INC FRESNO,CA,36579,FRESNO 12,CISO-PGAE,63.768416211338575,1.24
1005659,CALIFORNIA DAIRIES INC VISALIA,CA,36609,VISALIA 2,CISO-SCE,128.45883814646018,4.87
1005707,AMALGAMATED SUGAR CO LLC,ID,39448,NAMPA 5,IPCO,34.095134982071286,1.76
1005712,AMALGAMATED SUGAR CO LLC,ID,39489,TWIN FALLS 1,IPCO,34.246070466704126,6.96
1005732,PORT TOWNSEND PAPER CORP,WA,35035,PORT TOWNSEND,PSEI,241.02192023878507,11.28
1005766,Dyno Nobel,OR,35605,SCAPPOOSE,BPAT,55.855787743577295,11.8
1005864,HOLLY SUGAR CORP DBA SPRECKELS COMPANY,CA,37755,IMPERIAL 2,IID,9.825721918875594,5.16
1005924,Cheyenne Plant,WY,39373,CHEYENNE 1,WACM,121.1816621492498,9.25
