sub_id,balancing_area
37233,CISO-SCE
35491,PSEI
35492,BPAT
37191,CISO-SCE
37192,CISO-SCE
37193,CISO-SCE
37194,CISO-PGAE
37195,CISO-SCE
37196,CISO-PGAE
37197,CISO-SCE
37198,CISO-SCE
35490,AVA
37234,CISO-SCE
37236,CISO-SCE
37237,CISO-PGAE
37238,CISO-SCE
37239,CISO-SCE
37240,LDWP
37190,CISO-SCE
37225,CISO-SCE
37226,CISO-SCE
35814,BPAT
35496,BPAT
35502,AVA
35503,BPAT
35504,BPAT
35505,BPAT
35506,BPAT
35507,BPAT
35508,CHPD
35493,BPAT
35494,DOPD
35495,PSEI
37228,CISO-SCE
35497,PSEI
35498,AVA
35499,GCPD
35500,BPAT
35485,AVA
35486,BPAT
35487,BPAT
35488,BPAT
35489,BPAT
38480,Arizona
38483,Arizona
36455,CISO-PGAE
36456,CISO-PGAE
36457,CISO-PGAE
36458,CISO-PGAE
36459,CISO-PGAE
36460,CISO-PGAE
37208,CISO-PGAE
38482,Arizona
38481,Arizona
38484,Arizona
38479,Arizona
38478,Arizona
38477,Arizona
38491,Arizona
37199,CISO-SCE
38490,Arizona
37201,CISO-SCE
38489,Arizona
37203,CISO-SCE
37223,CISO-SCE
37229,CISO-SCE
37230,CISO-PGAE
37231,CISO-PGAE
37232,CISO-SCE
35826,GRID
37216,CISO-PGAE
37217,LDWP
37218,CISO-SCE
37219,CISO-PGAE
37221,CISO-SCE
35501,BPAT
37224,CISO-SCE
35825,BPAT
35824,IPCO
35823,BPAT
35822,PACW
36429,CISO-PGAE
36430,CISO-PGAE
36431,CISO-PGAE
36432,CISO-PGAE
38515,Arizona
36073,CISO-PGAE
36072,CISO-PGAE
35438,BPAT
38512,Arizona
38511,Arizona
35441,PSEI
35442,AVA
38510,Arizona
38509,Arizona
38516,WALC
35432,BPAT
38514,Arizona
38513,WALC
35430,PSEI
35431,BPAT
37267,CISO-SCE
37268,CISO-SCE
37269,CISO-SCE
37270,CISO-SCE
37271,CISO-SCE
37272,CISO-SCE
37241,CISO-SCE
37247,CISO-SCE
37248,CISO-PGAE
37249,CISO-SCE
37250,CISO-PGAE
37297,LDWP
36065,CISO-PGAE
36064,BANC
38750,PACE
36077,CISO-PGAE
36076,CISO-PGAE
35821,GRID
37242,CISO-SCE
35443,BPAT
35444,PSEI
35447,BPAT
35448,PSEI
35449,PSEI
35450,BPAT
36075,PACW
36074,CISO-PGAE
35459,PSEI
35465,BPAT
35466,PSEI
35467,PSEI
35468,GCPD
35820,PGE
35819,PGE
35455,BPAT
35456,BPAT
35457,PSEI
35458,BPAT
35464,CHPD
35460,BPAT
35818,BPAT
35817,BPAT
35816,PACW
37209,CISO-SCE
37210,CISO-SCE
35815,PACW
37212,CISO-SCE
37213,CISO-PGAE
35470,BPAT
35423,GCPD
35477,BPAT
35478,BPAT
35479,PSEI
35480,BPAT
35481,BPAT
35482,BPAT
35483,BPAT
35484,AVA
35469,BPAT
37204,CISO-SCE
35471,PSEI
35472,PSEI
35473,PSEI
35474,PSEI
35475,BPAT
35476,BPAT
35461,PSEI
35462,AVA
35463,AVA
39317,PSCO
38506,NEVP
36638,CISO-SCE
38505,Arizona
38504,Arizona
38503,Arizona
38733,PACE
38734,PACE
38735,PACE
39315,WACM
39316,PSCO
38743,PACE
39318,PSCO
36630,CISO-PGAE
38502,Arizona
36635,CISO-PGAE
38501,Arizona
38500,Arizona
38499,Arizona
39309,WACM
39310,WACM
39311,PSCO
35778,BPAT
38457,Arizona
38458,Arizona
35769,BPAT
38460,WALC
38461,WALC
35766,BPAT
35779,BPAT
38447,WALC
38448,Arizona
38449,Arizona
39312,WACM
38451,Arizona
38452,Arizona
38736,PACE
38737,PACE
38738,PACE
38739,PACE
38740,PACE
38741,PACE
38742,PACE
38749,PACE
39320,PSCO
39321,PSCO
39322,PSCO
39323,WACM
39324,PSCO
38744,PACE
38745,PACE
38746,PACE
38747,PACE
38748,PACE
39319,PSCO
39281,PSCO
39279,WACM
39278,PSCO
39293,PSCO
39288,PSCO
39289,PSCO
39290,PSCO
39291,WACM
39292,PSCO
39325,PSCO
39313,PSCO
39314,PSCO
38445,Arizona
38492,Arizona
38493,Arizona
38494,Arizona
38495,Arizona
38496,Arizona
38497,Arizona
38498,Arizona
38456,WALC
39326,PSCO
39327,PSCO
39328,PSCO
39329,WACM
39330,PSCO
38508,Arizona
