sub_id,remainder_twh,phase1_twh,total_twh,name,lat,lon,ba,state
35000,0.018867,0.0,0.018867,NEAH BAY,48.2414,-124.578,BPAT,WA
35001,0.031276,0.0,0.031276,FORKS,47.6956,-124.184,BPAT,WA
35002,0.028164,0.0,0.028164,OCEAN SHORES,47.04,-124.057,BPAT,WA
35003,0.020453,0.0,0.020453,WESTPORT,46.9275,-124.172,BPAT,WA
35004,0.026305,0.0,0.026305,LONG BEACH 1,46.3165,-124.061,BPAT,WA
35005,0.03292,0.0,0.03292,OCEAN PARK,46.4983,-123.983,BPAT,WA
35006,0.065546,0.0,0.065546,HOQUIAM,47.1743,-123.847,BPAT,WA
35007,0.062669,0.0,0.062669,PORT ANGELES 1,48.0025,-123.762,BPAT,WA
35008,0.113106,0.0,0.113106,ABERDEEN 1,47.165,-123.664,BPAT,WA
35009,0.048949,0.0,0.048949,MONTESANO,47.1889,-123.686,BPAT,WA
35010,0.050672,0.0,0.050672,RAYMOND,46.656,-123.615,BPAT,WA
35011,0.047892,0.0,0.047892,ELMA 1,47.0719,-123.294,BPAT,WA
35012,0.104416,0.0,0.104416,PORT ANGELES 2,47.988,-123.332,BPAT,WA
35013,0.017595,0.0,0.017595,CATHLAMET,46.1904,-123.332,BPAT,WA
35014,0.094317,0.0,0.094317,SHELTON 1,47.1504,-123.13,BPAT,WA
35015,0.086038,0.0,0.086038,SHELTON 2,47.1479,-123.072,BPAT,WA
35016,0.039038,0.0,0.039038,ROCHESTER,46.7918,-123.042,PSEI,WA
35017,0.036502,0.0,0.036502,FRIDAY HARBOR,48.6268,-123.038,BPAT,WA
35018,0.06308,0.0,0.06308,SEQUIM 1,48.0874,-123.158,BPAT,WA
35019,0.06308,0.0,0.06308,SEQUIM 2,48.0024,-123.082,BPAT,WA
35020,0.050298,0.0,0.050298,OLYMPIA 1,47.0228,-123.132,PSEI,WA
35021,0.052447,0.0,0.052447,OLYMPIA 2,47.0673,-123.143,PSEI,WA
35022,0.115572,0.0,0.115572,LONGVIEW 1,46.1277,-123.011,BPAT,WA
35023,0.115572,0.0,0.115572,LONGVIEW 2,46.1467,-122.989,BPAT,WA
35024,0.073665,0.0,0.073665,CHEHALIS 1,46.66,-122.963,PSEI,WA
35025,0.071613,0.0,0.071613,OLYMPIA 3,47.1433,-123.021,BPAT,WA
