sub_id,name,lat,lon,Pd,state,ba
35000,NEAH BAY,48.2414,-124.578,9.64,WA,BPAT
35001,FORKS,47.6956,-124.184,15.98,WA,BPAT
35002,OCEAN SHORES,47.04,-124.057,14.39,WA,BPAT
35003,WESTPORT,46.9275,-124.172,10.45,WA,BPAT
35004,LONG BEACH 1,46.3165,-124.061,13.44,WA,BPAT
35005,OCEAN PARK,46.4983,-123.983,16.82,WA,BPAT
35006,HOQUIAM,47.1743,-123.847,33.49,WA,BPAT
35007,PORT ANGELES 1,48.0025,-123.762,32.02,WA,BPAT
35008,ABERDEEN 1,47.165,-123.664,57.79,WA,BPAT
35009,MONTESANO,47.1889,-123.686,25.01,WA,BPAT
35010,RAYMOND,46.656,-123.615,25.89,WA,BPAT
35011,ELMA 1,47.0719,-123.294,24.47,WA,BPAT
35012,PORT ANGELES 2,47.988,-123.332,53.35,WA,BPAT
35013,CATHLAMET,46.1904,-123.332,8.99,WA,BPAT
35014,SHELTON 1,47.1504,-123.13,48.19,WA,BPAT
35015,SHELTON 2,47.1479,-123.072,43.96,WA,BPAT
35016,ROCHESTER,46.7918,-123.042,30.89,WA,PSEI
35017,FRIDAY HARBOR,48.6268,-123.038,18.65,WA,BPAT
35018,SEQUIM 1,48.0874,-123.158,32.23,WA,BPAT
35019,SEQUIM 2,48.0024,-123.082,32.23,WA,BPAT
35020,OLYMPIA 1,47.0228,-123.132,39.8,WA,PSEI
35021,OLYMPIA 2,47.0673,-123.143,41.5,WA,PSEI
35022,LONGVIEW 1,46.1277,-123.011,59.05,WA,BPAT
35023,LONGVIEW 2,46.1467,-122.989,59.05,WA,BPAT
35024,CHEHALIS 1,46.66,-122.963,58.29,WA,PSEI
35025,OLYMPIA 3,47.1433,-123.021,36.59,WA,BPAT
35026,OLYMPIA 4,47.1717,-122.923,43.57,WA,PSEI
35027,WINLOCK,46.4187,-122.896,20.08,WA,BPAT
35028,CENTRALIA 1,46.7548,-122.848,59.25,WA,PSEI
35029,BELFAIR,47.4535,-122.926,37.54,WA,BPAT
35030,CASTLE ROCK 1,46.3394,-122.809,25.35,WA,BPAT
35031,OLYMPIA 5,46.9955,-122.858,45.76,WA,PSEI
35032,OLYMPIA 6,46.9904,-122.886,45.76,WA,PSEI
35033,EASTSOUND,48.5514,-122.945,17.51,WA,BPAT
35034,OLYMPIA 7,47.0745,-122.852,43.68,WA,PSEI
35035,PORT TOWNSEND,48.0143,-122.891,43.32,WA,PSEI
35036,TENINO,46.9218,-122.807,17.57,WA,PSEI
35037,LACEY 1,46.9892,-122.722,43.93,WA,PSEI
35038,LACEY 2,47.003,-122.791,43.93,WA,PSEI
35039,OLYMPIA 8,47.1839,-122.752,51.07,WA,BPAT
35040,BREMERTON 1,47.5276,-122.809,36.24,WA,PSEI
35041,BREMERTON 2,47.5296,-122.878,46.26,WA,PSEI
35042,KELSO,46.0854,-122.84,58.86,WA,BPAT
35043,LAKEBAY 1,47.3623,-122.739,11.07,WA,BPAT
35044,OLYMPIA 9,46.8946,-122.715,38.37,WA,PSEI
35045,OLYMPIA 10,47.0142,-122.693,38.37,WA,PSEI
35046,KALAMA,46.0192,-122.767,14.72,WA,BPAT
35047,GIG HARBOR 1,47.3039,-122.788,27.96,WA,BPAT
35048,VANCOUVER 1,45.7379,-122.691,28.46,WA,BPAT
35049,SILVERDALE 1,47.7074,-122.658,55.86,WA,PSEI
35050,SILVERDALE 2,47.7601,-122.715,22.32,WA,PSEI
35051,BLAINE 1,48.9,-122.772,40.86,WA,PSEI
35052,PORT LUDLOW,47.9481,-122.682,10.87,WA,BPAT
35053,PORT ORCHARD 1,47.5032,-122.614,33.23,WA,PSEI
35054,PORT ORCHARD 2,47.4023,-122.622,33.23,WA,BPAT
35055,RIDGEFIELD,45.8363,-122.686,37.67,WA,BPAT
35056,VANCOUVER 2,45.7159,-122.652,31.46,WA,BPAT
35057,VANCOUVER 3,45.6572,-122.775,31.46,WA,PGE
35058,STEILACOOM,47.3081,-122.67,18.02,WA,BPAT
35059,WOODLAND 1,46.0356,-122.568,31.02,WA,BPAT
35060,DUPONT,47.1074,-122.665,19.84,WA,PSEI
35061,VANCOUVER 4,45.5909,-122.658,33.88,WA,PGE
35062,VANCOUVER 5,45.6377,-122.615,57.74,WA,BPAT
35063,ANACORTES 1,48.5919,-122.692,51.34,WA,PSEI
35064,COUPEVILLE,48.1206,-122.581,26.95,WA,PSEI
35065,ONALASKA,46.6517,-122.651,12.48,WA,BPAT
35066,RAINIER 1,46.8176,-122.649,11.2,WA,PSEI
35067,BREMERTON 3,47.7207,-122.703,31.06,WA,PSEI
35068,BREMERTON 4,47.5662,-122.642,31.06,WA,PSEI
35069,OAK HARBOR 1,48.2781,-122.63,47.94,WA,PSEI
35070,OAK HARBOR 2,48.2395,-122.535,45.39,WA,BPAT
35071,POULSBO 1,47.7984,-122.684,35.43,WA,PSEI
35072,POULSBO 2,47.7539,-122.658,35.43,WA,PSEI
35073,BREMERTON 5,47.5231,-122.622,44.89,WA,PSEI
35074,VANCOUVER 6,45.5753,-122.627,50.09,WA,PGE
35075,VANCOUVER 7,45.6695,-122.554,50.09,WA,BPAT
35076,VANCOUVER 8,45.638,-122.606,41.72,WA,BPAT
35077,GIG HARBOR 2,47.2477,-122.719,71.03,WA,BPAT
